dataset,experiment,x_label,x_value,n_e,n_c,capacity,profile_size,initial_assignment,iteration_number,seed,method,total_rank_improvement,execution_time,peak_memory_mb,cycle_count
combined_data_jd200_1.csv,varying_ev,Total EV,120,120,60,2,2,random,10,120133,TTC,946,0.047990014,1.25387764,122
combined_data_jd200_1.csv,varying_ev,Total EV,140,140,70,2,2,random,1,140124,W-TTC,2123,0.041080681,0.812141418,116
combined_data_jd200_1.csv,varying_ev,Total EV,140,140,70,2,2,random,1,140124,ReACT-TTC,1679,0.068099409,1.503949165,136
combined_data_jd200_1.csv,varying_ev,Total EV,140,140,70,2,2,random,1,140124,TTC,1679,0.060251434,1.503911018,136
combined_data_jd200_1.csv,varying_ev,Total EV,140,140,70,2,2,random,2,140125,W-TTC,2095,0.043517869,0.7615242,129
combined_data_jd200_1.csv,varying_ev,Total EV,140,140,70,2,2,random,2,140125,ReACT-TTC,1597,0.059575345,1.552635193,135
combined_data_jd200_1.csv,varying_ev,Total EV,140,140,70,2,2,random,2,140125,TTC,1597,0.05490344,1.552230835,135
combined_data_jd200_1.csv,varying_ev,Total EV,140,140,70,2,2,random,3,140126,W-TTC,2217,0.035763673,0.68717289,121
combined_data_jd200_1.csv,varying_ev,Total EV,140,140,70,2,2,random,3,140126,ReACT-TTC,1620,0.062251985,1.563821793,121
combined_data_jd200_1.csv,varying_ev,Total EV,140,140,70,2,2,random,3,140126,TTC,1620,0.056316537,1.563783646,121
combined_data_jd200_1.csv,varying_ev,Total EV,140,140,70,2,2,random,4,140127,W-TTC,2007,0.041041802,0.662987709,121
combined_data_jd200_1.csv,varying_ev,Total EV,140,140,70,2,2,random,4,140127,ReACT-TTC,1595,0.060154646,1.556694031,123
combined_data_jd200_1.csv,varying_ev,Total EV,140,140,70,2,2,random,4,140127,TTC,1595,0.054175672,1.556655884,123
combined_data_jd200_1.csv,varying_ev,Total EV,140,140,70,2,2,random,5,140128,W-TTC,2053,0.045787867,0.698996544,119
combined_data_jd200_1.csv,varying_ev,Total EV,140,140,70,2,2,random,5,140128,ReACT-TTC,1766,0.054598663,1.45866394,56
combined_data_jd200_1.csv,varying_ev,Total EV,140,140,70,2,2,random,5,140128,TTC,1766,0.049328697,1.458259583,56
